names,descrip,img,
3.1Acromantula,"In the Harry Potter universe, the Acromantula is a monstrous spider capable of human speech. It originated in Borneo, where it inhabits dense jungle. Its distinctive features include the thick black hair that covers its body; its legspan, which may reach up to 15 ft (4.6 m); its pincers, which produce a distinctive clicking sound when the Acromantula is excited or angry; and a venomous secretion. The Acromantula is carnivorous and prefers large prey. It spins dome-shaped webs on the ground. The female is bigger than the male and may lay up to 100 eggs at a time. Soft and white, these are as large as beach balls. The young hatch in six to eight weeks. Acromantula eggs are defined as Class A Non-Tradeable Goods by the department for the Regulation and Control of Magical Creatures, meaning that severe penalties are attached to their importation or sale.This beast is believed to be wizard-bred, possibly intended to guard wizard dwellings or treasure, as is often the case with magically bred monsters. Despite its near-human intelligence, the Acromantula is untrainable and highly dangerous to wizards.[10][full citation needed] Hagrid was expelled from Hogwarts in his third year for possession of the Acromantula Aragog who was thought by Hogwarts teachers to be the monster in the Chamber of Secrets. Acromantulas are capable of some form of respect or loyalty, as Aragog refused to allow his children to attack Hagrid because of their past. When Aragog died, Hagrid's protection vanished as Aragog was the only thing holding them back.",//upload.wikimedia.org/wikipedia/commons/thumb/b/b7/Aragog_%287119116887%29.jpg/150px-Aragog_%287119116887%29.jpg,,
3.2Basilisk,"In the Harry Potter universe, a Basilisk is a monstrous serpentine creature. Larger than its counterpart from the real-life legend, this Basilisk is capable of reaching a length up to sixty feet and living up to hundreds of years. Basilisks are uncontrollable except by Parselmouths, and the first basilisk is believed to have been created by a Greek Dark wizard and Parselmouth named Herpo the Foul.[HPF] Herpo made this discovery by hatching a chicken egg under a toad. A male basilisk has a scarlet plume on its head.[HPF] A basilisk kills both with its powerful venom and its huge yellow eyes, which are immediately fatal to any creature who looks at them directly.[HPF] To anyone who looks at it indirectly, such as through a camera or in a reflection, it creates a profound state of petrification similar to a Medusa stare. Ghosts who either look at it directly or indirectly will only become petrified since they could not die a second time.[HP2] A phoenix tear is the only known cure for the devastating effect of the basilisk's venom. Spiders flee from the basilisk, as they are mortal enemies. The basilisk itself flees only from the crowing of a rooster, which if heard by the basilisk is fatal, and the weasel whose odor will also kill a basilisk.In Harry Potter and the Chamber of Secrets, a female basilisk inhabits the Chamber of Secrets below Hogwarts. When student Tom Riddle, later known as Voldemort, opened the chamber, the basilisk merely petrified several students (students looked at a reflection of basilisk) and killed one student named Myrtle (later known as Moaning Myrtle) with her stare and hid in the chamber for 50 years, until Riddle's memory opened the chamber again by possessing Ginny Weasley. The basilisk attempts to kill several Muggle-borns, but due to good fortune, all its victims were merely petrified. Riddle commanded Ginny Weasley to kill all the school roosters remarked upon by Hagrid. When Harry discovers the chamber, Riddle reveals his identity and sets the basilisk loose upon Harry while Ginny's life force ebbs away. Fawkes helps Harry, by blinding the basilisk with his talons and carrying the Sorting Hat; Harry pulls the sword of Godric Gryffindor from the hat, and uses it to impale the basilisk in the roof of her mouth, killing her.The basilisk's fangs and her venom absorbed by the sword of Gryffindor proved instrumental for destroying most of Voldemort's Horcruxes. In Chamber of Secrets, while killing the basilisk at the same time, Harry Potter was stabbed in the arm by the first fang, which broke off and was used by Harry to puncture Tom Riddle's diary (one of Voldemort's Horcruxes), an act which restored Ginny's life force. In Harry Potter and the Deathly Hallows, after losing the sword of Gryffindor to Griphook, Ron Weasley and Hermione Granger return to the chamber and retrieve a fang from the dead basilisk's mouth, using it to destroy Helga Hufflepuff's cup. This time the chamber was opened by Ron by imitating Harry's Parseltongue. Ron Weasley, Neville Longbottom, and Professor Dumbledore used the sword of Gryffindor, laced with the basilisk's venom, to destroy the locket, Nagini, and Marvolo Gaunt's ring, respectively.",//upload.wikimedia.org/wikipedia/commons/thumb/3/3c/Centaur_%28Harry_Potter_Studio_Tour_-_July_2013%29.jpg/220px-Centaur_%28Harry_Potter_Studio_Tour_-_July_2013%29.jpg,,
3.3Boggarts,"In the Harry Potter universe, a Boggart is an amortal shape-shifter non-being that takes on the form of its intended victim's worst fear. While British mythology describes boggarts as house-elves who cause trouble or malevolent beings inhabiting marshes or other lonely spots, Rowling's boggarts are more like Fuaths, magical creatures originating from Scotland. However, there is one record of an English (Lancashire) boggart which could take the form of various animals, or indeed more fearful creatures.[11] The word boggart was recorded in the Survey of English Dialects across Cheshire, Derbyshire, Lancashire and Yorkshire as a bogey man.[12]     Boggarts like to hide in dark, enclosed places, such as closets and cabinets. It is unknown what form a boggart chooses to take when alone. (In Harry Potter and the Order of the Phoenix, Mad-Eye Moody determines, with his magical eye, that there is a boggart in the desk in the drawing room.)",//upload.wikimedia.org/wikipedia/commons/thumb/4/4f/The_Making_of_Harry_Potter_29-05-2012_%28Dementor%29.jpg/170px-The_Making_of_Harry_Potter_29-05-2012_%28Dementor%29.jpg,,
3.4Centaurs,"In Harry Potter and the Prisoner of Azkaban, Remus Lupin teaches his students in Defence Against the Dark Arts to approach a boggart in groups of two or more, or even to think of several very different frightful beings (Professor Snape and grandmother Augusta, in the case of Neville) so that the boggart will have difficulty in choosing how to frighten whom. The Riddikulus charm is used to combat Boggarts, by changing their appearance into a less fearsome or even comical apparition, which weakens the creatures. When Harry Potter approaches the boggart, it takes the form of a Dementor.Albus Dumbledore gives the same lesson in Fantastic Beasts: The Crimes of Grindelwald.Centaurs in the Harry Potter universe are wild creatures who claim to possess intelligence greater than humans. Their heads and torsos resemble those of humans but they possess the four legs, lower bodies and tail of a horse. Although sentient, they have not requested assignment as beings, preferring to remove themselves entirely from human affairs. Centaurs who decide to associate with humans can be seen as traitors to their kind and attacked by other centaurs, as was the case with Firenze, who agreed to teach Divination at Hogwarts. Firenze's interest and involvement with human affairs resulted in violent reprisals by other centaurs and were it not for Hagrid's intervention, Firenze could have been killed.The Ministry of Magic's Department for the Regulation and Control of Magical Creatures has a Centaur Liaison Office, but no centaur has ever used it. Centaurs are skilled in healing and astrology, and spend much of their time scouring the stars for portents. They live in forests, and their society consists of groups called herds. They do not appear to employ or need any technology more advanced than a bow and arrow. They are proud and territorial, therefore high diplomatic skills must be employed when dealing with centaurs. Displaying lack of respect to centaurs can have violent consequences, as Dolores Umbridge learned to her cost. In Deathly Hallows, the Hogwarts centaur herd, after being admonished fiercely by Hagrid, takes sides with the Order of the Phoenix, and assist in the Battle of Hogwarts.The films depict the centaurs with bestial and animalistic facial features. The books do not describe them, but several female students are attracted to them.",//upload.wikimedia.org/wikipedia/en/thumb/6/62/Harry_Potter_-_The_Ghosts.jpg/220px-Harry_Potter_-_The_Ghosts.jpg,,
3.5Dementors,"The dementors are ""soulless creatures[14]... among the foulest beings on Earth"": a phantom species who, as their name suggests, gradually deprive human minds of happiness and intelligence. They are the guards of the wizard prison, Azkaban, until after the return of antagonist Lord Voldemort. Albus Dumbledore harbors an intense dislike of dementors, noting he has long felt the Ministry of Magic erred in ""allying"" with such creatures, implying that dementor society in general exists apart from the general wizarding world. Dumbledore forbade dementors from entering Hogwarts but this ban was ultimately broken in Harry Potter and the Goblet of Fire by Minister for Magic Cornelius Fudge, who insisted on being accompanied by a dementor as a bodyguard.In the books, dementors have a generally human shape, approximately 3 metres (10 feet) in height, covered in dark, hooded cloaks that reveal only their decayed-looking hands. Beneath the cloak, Dementors are also known to be blind, as they do not have any eyes. However, they have the ability to sense whether a presence is near them or not. This is because they sense the victim's emotions and the only feature of note is the perpetually indrawn breath, by which they consume the emotions and good memories of human beings, forcing the victim to relive its worst memories alone. According to the author, dementors grow like fungi in dark, moist places, creating a dense, chilly fog. Although they are implied to be sentient, this is left ambiguous. The presence of a dementor makes the surrounding atmosphere grow cold and dark, and the effects are cumulative with the number of dementors present. The culmination of their power is the 'Dementor's Kiss', wherein the dementor latches its mouth onto a victim's lips and consumes its soul or psyche, presumably to leave the victim in a persistent vegetative state, without any memories and feelings left. Dementors are invisible to Muggles, but affect them otherwise identically.Despite their attachment to human emotion, dementors seem to have difficulty distinguishing one human from another, as demonstrated by Barty Crouch Jr.'s escape from Azkaban, wherein they could detect no emotional difference between the younger Crouch and his mother. Their sensitivity appears less precise in proportion to the emotion's 'complexity'; this particular weakness enabled Sirius Black, an Animagus, to escape Azkaban by transforming into a dog. The principal method against them is the Patronus Charm, which both protects its user and repels the dementors.",//upload.wikimedia.org/wikipedia/commons/thumb/e/e7/Universal_Studios_Florida_%2822329261534%29.jpg/220px-Universal_Studios_Florida_%2822329261534%29.jpg,"Harry first encounters dementors during his third year of school, when they are sent to guard Hogwarts against Sirius Black, thought to be a dangerous criminal at this point in time. Being reminded by their presence of his parents' murder by Voldemort, Harry asks Remus Lupin for assistance, and thus learns the Patronus Charm. At the beginning of Order of the Phoenix, two dementors are dispatched to Little Whinging to assassinate Harry, and nearly drain the soul from his cousin Dudley Dursley before Harry drives them off with the Patronus (It is later learned that they were sent by Minister Fudge's corrupt secretary Dolores Umbridge, a possible mole for the Death Eaters). By the novel's end, the dementors of Azkaban stage a mass revolt against their employers to join Voldemort, who permits them nearly free access to victims. In Deathly Hallows, the Ministry, under the control of Voldemort, uses dementors to punish Muggle-borns. The dementors also take Voldemort's side during the Battle of Hogwarts. After the appointment of Kingsley Shacklebolt as Minister of Magic, dementors are removed from Azkaban, and the Ministry contains them by limiting their numbers.",
3.6Ghosts,"Ghosts play an important secondary role, mainly as advisors to the leading characters. Unlike the ghosts in a traditional ghost story, these ghosts are neither frightening nor necessarily ghoulish. Ghosts in the novels appear silvery and translucent. They can fly and pass through walls, tables, and other solid objects, but nonetheless have some ability to physically affect, and be affected by, the living world. (Moaning Myrtle, for instance, can splash the water in her toilet.[HP2]) Ghosts' banquet tables are laden with rotten food, as the decomposition increases their ability to smell and taste it.[HP2] Touching or walking through a ghost induces a sensation ""like walking through an icy shower.""[HP2] Ghosts can be affected by magic and curses, though not to the same degree that living beings can.[HP2]",//upload.wikimedia.org/wikipedia/commons/thumb/2/23/The_Making_of_Harry_Potter_29-05-2012_%28Thestrals%29.jpg/220px-The_Making_of_Harry_Potter_29-05-2012_%28Thestrals%29.jpg,"In the Harry Potter universe, only wizards and witches can become ghosts. As Nearly Headless Nick explained to Harry, ""Wizards can leave an imprint of themselves upon the earth, to walk palely where their living selves once trod ... I was afraid of death. I chose to remain behind. I sometimes wonder whether I oughtn't to have ... Well, that is neither here nor there ... In fact, I am neither here nor there ...""[HP5] Despite having chosen this afterlife, many ghosts bemoan their inability to eat, and many are described as gloomy.[HP2] They also harbour an attraction to imagery morbid and melancholy.[HP2]","Ghosts are very sensitive about their condition: when the Ministry initially classified them as sentient creatures with full legal rights,[15] they claimed that the term was insensitive and received a separate ""Spirit Division"",[HPF] apparently to control the activities and haunting locations of troublesome ghosts (as when Myrtle was forced to haunt the place of her death at Hogwarts after she had disrupted the wedding of the brother of Olive Hornby, a girl who had teased her at school).[HP2]"
3.7Giants,"Giants in the Harry Potter universe are capable of interbreeding with humans – Rubeus Hagrid is half-giant, as is his love interest Olympe Maxime – but wizards as a population[HP4] have engaged in an active campaign to hunt giants out of civilisation.[HP5] The last giants in Britain were killed apparently by Ministry decree,[HP5] but most deaths have been due to territorial aggression among themselves as wizards force them to live in ever more confined spaces.[HP5] The last few giants remaining in the world (the total number is between 70 and 80) are collected together in an isolated region east of Belarus. Giants range in height from 20 to 25 feet, and have skin similar to rhinoceros hide, which grants them limited immunity to magical attacks.[HP5] Their society is loosely governed by a chief called a Gurg, who spends most of his time demanding food from his underlings.",//upload.wikimedia.org/wikipedia/commons/thumb/0/06/Werewolf_%28Harry_Potter%29.jpg/170px-Werewolf_%28Harry_Potter%29.jpg,"Voldemort has employed giants in his attacks, after convincing them that he can offer them a better life;[HP4] whereas Hagrid reveals in Order of the Phoenix that he and Madame Maxime went to try and persuade the Giants to take part in the war against Voldemort, but were thwarted when the Gurg Karkas was killed by Golgomath who succeeded him and sided with the Death Eaters. Presumably as a result, some giants took part in the Battle of Hogwarts at the end of the series, mostly fighting for Voldemort. These giants faced off against Hagrid's half-brother Grawp, Buckbeak, and some Thestrals.[HP7]",
3.8Goblins,"Goblins are magical creatures chiefly involved with metalwork and the running of Gringotts bank. They are represented by the Goblin Liaison Office in the Department for the Regulation and Control of Magical Creatures. Goblins are anthropoid, described as having long, thin fingers and feet, black eyes, and domed heads much larger than human heads in proportion to the body.[DH Ch.24] Goblins eat a diet of largely raw meat, roots, and fungi[DH Ch.25] and converse in a language known as Gobbledegook.[HP4] They consider the true owner of an object to be its maker – that its purchaser has only licensed its use, perhaps for a lifetime – and they consider the passage of goblin-made heirlooms through Wizarding families without further payment to be theft.[DH Ch.25] Wizarding law prohibits the ownership of wands by goblins, but goblins have a different magic of their own.",//upload.wikimedia.org/wikipedia/commons/thumb/e/eb/Dobby_%287119115949%29.jpg/170px-Dobby_%287119115949%29.jpg,"Relations between goblins and wizards have been strained for centuries by misunderstandings on both sides, sometimes evoking violence. Along with house-elves, goblins seem to occupy positions as second-class citizens in the Wizarding world. The goblins remain a neutral force during the Second Wizarding War, siding with neither Voldemort nor the opposition to him.[DH Ch.15] In some cases, a weak friendship exists between certain wizards and goblins (particularly Bill Weasley, who works as a Curse Breaker for Gringotts Bank), and there have even been some instances of goblin-wizard interbreeding (Professor Flitwick has distant goblin ancestry, which likely accounts for his small size).[17] The depiction of goblins in Harry Potter has been accused of containing antisemitic stereotypes.[18]",
3.9House-elves,"House-elves are small elves enslaved by wizards. They are 2–3 ft (0.61–0.91 m) tall, with spindly limbs and oversized heads and eyes. They have pointed, bat-like ears and high, squeaky voices. Their names are usually pet-like diminutives, and they do not appear to have surnames. They habitually refer to themselves in the third person. House-elves are generally obedient, pliant, and obsequious; and when enslaved, wear discarded items such as pillowcases and tea-towels draped like a toga. House-elves' masters can free them by giving them an item of clothing, much like the Hob of English folklore. House-elves can become intoxicated by drinking Butterbeer.",//upload.wikimedia.org/wikipedia/commons/thumb/d/d9/The_Making_of_Harry_Potter_29-05-2012_%28Fawkes%29.jpg/170px-The_Making_of_Harry_Potter_29-05-2012_%28Fawkes%29.jpg,"House-elves possess magic distinct from that used by wizards and witches, which they generally use in the service of their masters. This magic can be used without the permission of their masters, or even against their orders, though such disobedience obliges them to punish themselves in various painful ways. Among other things, this magic allows house-elves to Apparate instantly from place to place, even at Hogwarts and other places where human Apparation is prevented; and even to thus transport humans.[HP7] The full extent of the elves' magic is never fully disclosed, but it seems formidable. Along with the ability to Apparate anywhere at any time, Dobby, Winky, Hokey, and Kreacher all demonstrate that they can overpower wizards when necessary: In Chamber of Secrets, Dobby forcefully repels Lucius Malfoy while protecting Harry; whereas in Harry Potter and the Goblet of Fire, when Barty Crouch Jr. is unmasked and confesses to what happened on the night of the Quiddich World Championship, he says: ""Winky used her own brand of magic to bind me to her"", and in Deathly Hallows, Harry tasks Kreacher with capturing Mundungus Fletcher and bringing him to 12 Grimmauld Place, a task that he accomplishes within a few days;–– even though, as Kreacher puts it, ""He has many hidey-holes and accomplices"". Moreover, although House-elves are not allowed to carry wands, they do not appear to need them, being capable of magical feats without them.","In Goblet of Fire, it is said that a House-elf who has been freed is expected to find a new family to serve. There is an Office of House-Elf Relocation at the Ministry of Magic to facilitate this. House-elves are unendingly loyal to their masters; so much so that Dobby, who served the Malfoy family, attempts to punish himself each time he utters a negative remark about them (even after his freedom) until the final book, in which he defies Bellatrix Lestrange. According to Kreacher, ""a House-elf's highest law is his master's bidding""; however, while House-elves must obey their masters without question, they have been known to find loopholes in orders that allow for unintended interpretations to protect themselves or their friends. Because of their docile, obedient natures, some families abuse their house-elves; Dark wizard families in particular seem to make a habit thereof, as when the Malfoys forced Dobby to torture himself, or when the Black family customarily decapitated their house-elves as they became enfeebled by age. Nonetheless, most house-elves are horrified by freedom even from the most cruel masters. Dobby, the first introduced, is the sole exception; but this extends chiefly to voluntary service, paid labour, and choice of his own employment and costume. During her time at Hogwarts, Hermione establishes S.P.E.W. (the 'Society for the Promotion of Elfish Welfare') to champion House-elves' rights; but gains little interest from her classmates or the House-elves themselves. After Hermione begins leaving elf-sized clothes around the Gryffindor common room, intending for Hogwarts' House-elves to inadvertently free themselves while cleaning, the House-elves find the idea so insulting that Dobby is the only resident elf willing to clean in Gryffindor Tower."
3.10Obscurials/Obscurus,"Obscurials are magical children who attempt to repress their magical abilities. If kept unchecked, this repression corrupts the user's magic, creating a dark parasite force known as an obscurus. The host obscurial keeps the form of the child, appearing normal, if emotionally distressed due to their forced hiding of their magical nature. When their power is unleashed, the child and obscurus share a form of a large, shadowy, ethereal cloud, usually causing destruction due to the child themselves having little to no control over the obscurus. The host and parasite may retake the form of the child later, again with almost no input from the obscurial. Due to its consuming nature, obscurials rarely live past childhood, and obscurials who do make it to adolescence are considered outstandingly powerful magic users, though they still will have no control.",//upload.wikimedia.org/wikipedia/commons/thumb/a/ae/The_Making_of_Harry_Potter_29-05-2012_%28Hedwig%29.jpg/150px-The_Making_of_Harry_Potter_29-05-2012_%28Hedwig%29.jpg,,
